Product_ID,Product_Name,Category_ID,Launch_Date,Price
P-1,MacBook,CAT-1,9/17/2023,1149
P-2,MacBook Air (M1),CAT-1,11/11/2023,1783
P-3,MacBook Air (M2),CAT-1,5/24/2020,1588
P-4,MacBook Pro 13-inch,CAT-1,1/17/2021,1351
P-5,MacBook Pro 14-inch,CAT-1,5/12/2024,768
P-6,MacBook Pro 16-inch,CAT-1,12/28/2021,1179
P-7,MacBook (Retina),CAT-1,10/17/2023,231
P-8,MacBook Air (Retina),CAT-1,1/16/2020,1847
P-9,MacBook Pro (Touch Bar),CAT-1,6/17/2024,1304
P-10,MacBook (Early 2015),CAT-1,11/19/2022,741
P-11,AirPods (2nd Generation),CAT-2,6/13/2022,504
P-12,AirPods (3rd Generation),CAT-2,5/30/2021,1842
P-13,AirPods Pro,CAT-2,10/6/2024,1167
P-14,AirPods Pro (2nd Generation),CAT-2,1/29/2021,696
P-15,AirPods Max,CAT-2,8/19/2022,1603
P-16,Beats Studio Buds,CAT-2,5/7/2024,762
P-17,Beats Fit Pro,CAT-2,12/23/2022,1839
P-18,Beats Solo Pro,CAT-2,2/26/2024,1773
P-19,Beats Powerbeats Pro,CAT-2,12/15/2020,1060
P-20,HomePod (2nd Generation),CAT-2,10/15/2020,689
P-21,HomePod mini,CAT-2,4/5/2022,438
P-22,iPad (10th Generation),CAT-3,5/18/2021,1735
P-23,iPad (9th Generation),CAT-3,3/8/2022,1949
P-24,iPad mini (6th Generation),CAT-3,11/27/2022,573
P-25,iPad mini (5th Generation),CAT-3,1/10/2023,1912
P-26,iPad Air (5th Generation),CAT-3,3/6/2021,1591
P-27,iPad Air (4th Generation),CAT-3,4/24/2021,952
P-28,iPad Pro 11-inch,CAT-3,5/7/2023,1761
P-29,iPad Pro 12.9-inch,CAT-3,11/10/2023,1167
P-30,iPad Pro (M1),CAT-3,9/14/2020,1329
P-31,iPad Pro (M2),CAT-3,8/25/2021,1826
P-32,iPhone 14,CAT-4,6/13/2021,1476
P-33,iPhone 14 Plus,CAT-4,9/4/2023,1259
P-34,iPhone 14 Pro,CAT-4,12/24/2021,1380
P-35,iPhone 14 Pro Max,CAT-4,10/7/2024,678
P-36,iPhone 13,CAT-4,6/15/2023,623
P-37,iPhone 13 mini,CAT-4,6/20/2021,1092
P-38,iPhone 13 Pro,CAT-4,3/22/2021,308
P-39,iPhone 13 Pro Max,CAT-4,5/9/2024,820
P-40,iPhone SE (3rd Generation),CAT-4,11/10/2022,923
P-41,iPhone 12,CAT-4,3/5/2020,1436
P-42,iPhone 12 mini,CAT-4,10/31/2020,1607
P-43,iPhone 12 Pro,CAT-4,8/3/2024,1342
P-44,iPhone 12 Pro Max,CAT-4,9/9/2020,544
P-45,Apple Watch Series 9,CAT-5,9/12/2020,1014
P-46,Apple Watch Ultra,CAT-5,8/30/2024,346
P-47,Apple Watch SE,CAT-5,1/20/2020,1546
P-48,Apple Watch Nike Edition,CAT-5,6/24/2020,884
P-49,Apple Watch Hermès,CAT-5,1/1/2020,1712
P-50,Apple Watch Series 8,CAT-5,7/12/2022,1631
P-51,Apple Watch Series 7,CAT-5,1/13/2020,1431
P-52,Apple Watch Series 6,CAT-5,4/27/2023,462
P-53,Apple Watch Series 5,CAT-5,11/10/2023,1296
P-54,Apple TV 4K,CAT-6,2/17/2023,1255
P-55,Apple TV HD,CAT-6,11/24/2021,1258
P-56,Apple TV (3rd Generation),CAT-6,7/1/2020,477
P-57,iMac 24-inch,CAT-7,4/7/2021,449
P-58,iMac 27-inch,CAT-7,5/17/2022,1918
P-59,iMac Pro,CAT-7,8/20/2021,1081
P-60,iMac with Retina Display,CAT-7,7/24/2020,343
P-61,Mac Pro (2023),CAT-7,7/14/2023,681
P-62,Mac Pro (Tower),CAT-7,10/31/2022,458
P-63,Mac Pro (Rack),CAT-7,6/6/2022,1415
P-64,Mac Studio,CAT-7,2/15/2024,613
P-65,Mac Mini,CAT-7,9/27/2020,555
P-66,Mac Mini (M2),CAT-7,10/30/2021,874
P-67,iCloud,CAT-8,1/26/2021,1181
P-68,Apple Music,CAT-8,9/26/2020,1965
P-69,Apple TV+,CAT-8,11/4/2024,404
P-70,Apple Fitness+,CAT-8,5/6/2021,923
P-71,Apple Arcade,CAT-8,9/13/2024,549
P-72,Apple News+,CAT-8,1/26/2022,253
P-73,Apple One,CAT-8,5/2/2020,488
P-74,HomePod,CAT-9,8/11/2020,1202
P-75,HomePod mini,CAT-9,6/22/2023,266
P-76,Magic Keyboard,CAT-10,5/16/2020,368
P-77,Magic Keyboard with Touch ID,CAT-10,4/9/2023,1162
P-78,Magic Mouse,CAT-10,8/26/2023,313
P-79,Magic Trackpad,CAT-10,5/25/2024,1242
P-80,Apple Pencil (1st Generation),CAT-10,6/30/2024,925
P-81,Apple Pencil (2nd Generation),CAT-10,6/21/2023,1506
P-82,Smart Keyboard Folio,CAT-10,3/10/2020,572
P-83,Smart Cover for iPad,CAT-10,1/25/2023,1014
P-84,Leather Case for iPhone,CAT-10,6/23/2022,866
P-85,Silicone Case for iPhone,CAT-10,1/22/2022,1210
P-86,MagSafe Battery Pack,CAT-10,3/27/2020,1389
P-87,MagSafe Charger,CAT-10,3/27/2024,1744
P-88,AirTag,CAT-10,5/11/2020,677
P-89,Lightning to USB Cable,CAT-10,1/5/2024,1434
